id,title,upload_date,views,likes,comments,duration_s,url,has_transcript
TL14uHFXGOA,2 Working with APIs with HAILogo,20260124,80,15,13,409,https://www.youtube.com/watch?v=TL14uHFXGOA,True
6kXIFrnuYoM,1 Getting Started n8n with HAILogo,20260124,174,15,15,301,https://www.youtube.com/watch?v=6kXIFrnuYoM,True
5nNZlq40e6c,"Beyond 57,000 Companies: Scraping ATS Data & H-1B History",20260114,345,23,17,294,https://www.youtube.com/watch?v=5nNZlq40e6c,True
6ewOqwrU_S4,Jane Austen Mini-LLM Teaches Us About AI Data Bias,20260113,93,13,12,633,https://www.youtube.com/watch?v=6ewOqwrU_S4,True
k0mVPXLxcVY,What is Prompt Engineering? The #1 Job Skill in 2026,20260113,52,14,12,278,https://www.youtube.com/watch?v=k0mVPXLxcVY,True
j5u4-TQFny0,"""The King's Lament (A Song of Shahryar and Shah Zaman) | Arabian Nights Folk | Humanitarians AI",20260106,69,3,,5,https://www.youtube.com/watch?v=j5u4-TQFny0,False
Sep47Gr7N5U,Animal Kingdom Song in Spanish! 🐾🎶 | Learn Animal Sounds & Movements | Humanitarians AI,20260105,47,6,1,160,https://www.youtube.com/watch?v=Sep47Gr7N5U,False
g6Sshc1Q7kM,All Things Bright and Beautiful | Humanitarians × Lyrical Literacy,20260105,26,8,4,298,https://www.youtube.com/watch?v=g6Sshc1Q7kM,True
WmfwMcKLq7Q,Add a Clean Intro & Outro to Your Videos Using Descript + Adobe Rush | Humanitarians AI,20251211,116,6,3,340,https://www.youtube.com/watch?v=WmfwMcKLq7Q,True
V2J_72aOpTM,Humanitarians Ai Course on Courses: How to Build AI Courses by Learning-by-Teaching,20251128,82,11,7,773,https://www.youtube.com/watch?v=V2J_72aOpTM,True
nnRP-TIeFLc,Knowing a Company’s ATS Is a Win for Your Application,20251127,237,25,15,280,https://www.youtube.com/watch?v=nnRP-TIeFLc,True
3tELbMCPGCs,Filtering Millions of H-1B Records to Find Real Hiring Signals,20251126,119,5,5,186,https://www.youtube.com/watch?v=3tELbMCPGCs,True
uy6as-GC9-I,Scraping 25K Startup Sites & Preparing Them for a Language Model,20251126,38,4,5,206,https://www.youtube.com/watch?v=uy6as-GC9-I,True
ZSJ96v8uOBM,"From 500,000 URLs to Real Jobs: Inside the 80 Days to Stay Engine",20251124,154,5,7,180,https://www.youtube.com/watch?v=ZSJ96v8uOBM,True
zw6Ugjj84uc,Building a AI-Powered Web Scraper to Help International Students Find Visa Sponsors | 80 Days 2 Stay,20251124,145,14,5,255,https://www.youtube.com/watch?v=zw6Ugjj84uc,True
CGRnq-sniOY,Domain Inference Complete: 62% Hit Rate | Now Using LLMs to Analyze Hiring Likelihood,20251123,24,2,,264,https://www.youtube.com/watch?v=CGRnq-sniOY,True
BY-JpuVU0tE,Gemini Calls Out Google: Why Your 10/10 Content Loses to Paid 3/10 Crap,20251123,49,4,,130,https://www.youtube.com/watch?v=BY-JpuVU0tE,True
w3mEkW9bF8I,"Are Idiots Working at Google? No, It's Worse - They Don't Care (Says Gemini)",20251123,33,1,,173,https://www.youtube.com/watch?v=w3mEkW9bF8I,True
ucoPijVk94E,"LLMs Are Like Puppies: They'll Always Fetch, But Sometimes The Wrong Thing | 80 Days to Stay",20251123,17,2,2,139,https://www.youtube.com/watch?v=ucoPijVk94E,True
46CipO_dtFM,"Finding Domains for 41,000 Companies with Domain Inference Script",20251123,343,15,2,259,https://www.youtube.com/watch?v=46CipO_dtFM,True
vPFnBnkEgIg,Iterative Data Cleaning: From 58K to 41K Companies in One Script,20251123,23,3,1,220,https://www.youtube.com/watch?v=vPFnBnkEgIg,True
y2lIrKsai_0,Skip the Complexity: How to Flatten Nested Data for End Users Fast,20251123,17,2,,111,https://www.youtube.com/watch?v=y2lIrKsai_0,True
B674yDDmvtY,Filtering 500K SEC Companies to Find Job Opportunities Using Claude AI,20251123,129,7,2,143,https://www.youtube.com/watch?v=B674yDDmvtY,True
fCI9nXllhvw,Find Companies That Are Likely to Hire Me: The LinkedIn Feature We Actually Need,20251122,32,6,1,251,https://www.youtube.com/watch?v=fCI9nXllhvw,True
FB63ARjY81g,Why LinkedIn Failed Us: Building a Real Database for International Student Hiring (80 Days to Stay),20251122,29,6,2,451,https://www.youtube.com/watch?v=FB63ARjY81g,True
1FHGMR1wozs,Building a Visa Sponsorship Database from SEC Data | 80 Days to Stay Project,20251122,170,13,6,653,https://www.youtube.com/watch?v=1FHGMR1wozs,True
p_bx-BnpPHI,80 Days to Stay,20251121,203,18,21,858,https://www.youtube.com/watch?v=p_bx-BnpPHI,True
2Z5hOX2NqnA,Unreal Reels: Turn AI Video Into Real Storytelling | iPhone-Style Prompt Generator,20251120,33,3,2,239,https://www.youtube.com/watch?v=2Z5hOX2NqnA,True
wMZgLM7yQ4Q,Aengus | Building a Personalized AI Tool for Music Video | Text-to-Video Prompt Engineering,20251115,53,7,3,888,https://www.youtube.com/watch?v=wMZgLM7yQ4Q,True
WoHfW50j41w,The Strategic Minimalism Resume Strategy: Winning Both ATS and Human Readers,20251115,27,4,1,281,https://www.youtube.com/watch?v=WoHfW50j41w,True
59LcK2WvBbk,Deploy Your Website on Vercel in Minutes | No Setup Needed | Humanitarians AI,20251115,19,2,2,193,https://www.youtube.com/watch?v=59LcK2WvBbk,True
1SPcPMZc9eQ,Minimax Hailuo 02.3 | LLM Dance Off: How Good Are AI Video Models at Dancing?,20251115,29,,,1121,https://www.youtube.com/watch?v=1SPcPMZc9eQ,True
bLNxBF3GJA8,Join the $1M AgentX-AgentBeats Competition: Build the Future of Agentic AI!,20251114,36,1,,106,https://www.youtube.com/watch?v=bLNxBF3GJA8,True
DJMgFMDmDto,Building AI News Monitoring Agent with n8n & FastAPI | Mycroft | Nerd Stuff with Humanitarians AI,20251114,155,12,6,600,https://www.youtube.com/watch?v=DJMgFMDmDto,True
W0X3fTQSKjg,Microsoft Nonprofit Program Rejection: Our 501(c)(3) Application Experience,20251113,8,,,67,https://www.youtube.com/watch?v=W0X3fTQSKjg,True
Rxt6l0T_-Kg,Applying for LinkedIn Ad Grants for Humanitarians AI,20251113,10,1,,272,https://www.youtube.com/watch?v=Rxt6l0T_-Kg,True
EMW7Hml02Aw,Microsoft Nonprofit Program Review | $2000 Azure Grant | Tech Resources for Nonprofits,20251113,173,2,,172,https://www.youtube.com/watch?v=EMW7Hml02Aw,True
ipCt9eawg0o,Jason King's Google Ad Grant course,20251113,24,,,328,https://www.youtube.com/watch?v=ipCt9eawg0o,True
7bxZTwth0ZA,Google Ad Grants Reality Check: Why Your Nonprofit Gets ZERO Impressions (Smart Bidding Explained,20251112,5,,,597,https://www.youtube.com/watch?v=7bxZTwth0ZA,True
ZzUYgm9VOZg,Diagnosing and Mitigating Google Ad Grants Suppression for Humanitarians AI,20251111,9,2,,579,https://www.youtube.com/watch?v=ZzUYgm9VOZg,True
b9sEs_1W5bw,Oz Songs 11.10.25: Planning Character Dance Sequences & AI Video Compositing Techniques,20251110,10,1,2,777,https://www.youtube.com/watch?v=b9sEs_1W5bw,True
r3ht32NR_Ig,OZ SONGS for Lyrical Literacy: AI Music Storytelling for Educational Impact,20251110,12,,,668,https://www.youtube.com/watch?v=r3ht32NR_Ig,True
a3rx6xYa3NU,Automate Everything with n8n!   No Code & Low Code Workflow Automation |  Humanitarians AI,20251107,48,6,3,892,https://www.youtube.com/watch?v=a3rx6xYa3NU,True
XAzLrW9zx0o,AI Live Assistance  Google Sheets & Coding w/ Gemini  Hidden AI Tool Demo | Humanitarians AI Fellows,20251107,16,3,2,659,https://www.youtube.com/watch?v=XAzLrW9zx0o,True
syAQNbHZHiA,AI Agents  Dynamic Subagent Creation & Agent Registry   Live Demo! | Humanitarians AI Fellows,20251107,34,,1,781,https://www.youtube.com/watch?v=syAQNbHZHiA,True
E6cGX1VQWxE,Google AI Studio Masterclass: A Comprehensive Tutorial by Humanitarians AI Student Fellows,20251107,26,,,609,https://www.youtube.com/watch?v=E6cGX1VQWxE,True
PMOgxVID1I0,📊 Competitive Analysis with Brand24  | AI Powered Social Listening | Humanitarians AI Fellows,20251107,37,2,,654,https://www.youtube.com/watch?v=PMOgxVID1I0,True
XSZ9w8LTn4k,🎥 Introducing HeyGen  AI Powered Video Creation for Everyone | Tutorial by Humanitarians AI Fellows,20251107,20,,,341,https://www.youtube.com/watch?v=XSZ9w8LTn4k,True
Vqjl-0JtsNE,Fine Tuning a Dataset with Pretrained Hugging Face Models  Complete Guide,20251107,49,1,3,632,https://www.youtube.com/watch?v=Vqjl-0JtsNE,True
dHde-wuZ7pw,Suno AI Tutorial | Create Music from Text Prompts (Step-by-Step Guide) | Humanitarians AI,20251105,22,,,796,https://www.youtube.com/watch?v=dHde-wuZ7pw,True
GWdxmXT26aQ,The Cowardly Lion’s Lament | Lyrical Literacy (Oz Sung),20251105,6,1,,217,https://www.youtube.com/watch?v=GWdxmXT26aQ,True
lfFy8nLWI1U,Claude Artifacts Explained in 2 Minutes | Build Interactive Apps with Claude AI | Humanitarians AI,20251103,27,4,1,93,https://www.youtube.com/watch?v=lfFy8nLWI1U,True
0sCMeQs1Uro,Hybrid RAG System: Vector Search + BM25 for Better Retrieval | LangChain Tutorial | Humanitarians AI,20251103,141,3,,241,https://www.youtube.com/watch?v=0sCMeQs1Uro,True
I7d9L1ZbcNI,How to Build a Custom Project in Claude | Algorithms Tutor Example | Humanitarians AI,20251025,30,2,,189,https://www.youtube.com/watch?v=I7d9L1ZbcNI,True
ShJ8KgZFp6s,Master MidJourney: Create & Moodboard Features Explained | Lyrical Literacy | Humanitarians AI,20250919,37,,,365,https://www.youtube.com/watch?v=ShJ8KgZFp6s,True
sSCG2IgasK4,Transforming Education with AI: Custom GPTs & Bots at Northeastern University | OpenAI Academy,20250909,33,6,3,613,https://www.youtube.com/watch?v=sSCG2IgasK4,True
bLT4xz80Ifg,Lullabize: Transform Simple Text into Powerful Brain-Building Songs |  AI Music Tools,20250902,50,7,4,817,https://www.youtube.com/watch?v=bLT4xz80Ifg,True
bJJnw3gviI4,Essential Video Requirements for Humanitarians AI Fellows: Adding Outro Files | Professor Bear,20250826,39,1,,77,https://www.youtube.com/watch?v=bJJnw3gviI4,True
TJNuzfm2x-U,Essential Guidelines for Humanitarians AI Fellows: Learning by Doing | Prof Bear's Onboarding Guide,20250821,68,2,2,924,https://www.youtube.com/watch?v=TJNuzfm2x-U,True
SZZ34I6pkOY,DO NOT email Prof. Bear directly to join HAI ! Email HR at hr@humanitarians.ai,20250821,23,,,174,https://www.youtube.com/watch?v=SZZ34I6pkOY,True
JQ1SfzEjN4c,Essential Tips for HAI Fellows: Organizing YouTube Playlists,20250820,17,2,,108,https://www.youtube.com/watch?v=JQ1SfzEjN4c,True
Cqa4drbmgzU,Abode Rush Tutorial for Beginners | Humanitarians AI,20250820,71,1,,891,https://www.youtube.com/watch?v=Cqa4drbmgzU,True
uHWw_z7i7-U,Fix Your Audio in 5 Minutes: Tips for Humanitarians AI Fellows | Professor Bear's Quick Demo,20250819,17,1,,273,https://www.youtube.com/watch?v=uHWw_z7i7-U,True
kYoGg6jSsqk,Calculating Confidence Intervals for Google Ad Grants Keywords | CTR Statistical Analysis Nonprofits,20250812,16,,,336,https://www.youtube.com/watch?v=kYoGg6jSsqk,True
BmjzxivLorA,How to Create Landing Pages for Google Ad Grants Campaigns | Professor Bear's Nonprofit Marketing,20250812,45,,,413,https://www.youtube.com/watch?v=BmjzxivLorA,True
bUyIxWTb18k,🎵 My Little Pony - NEW SONG by Humanitarians AI | My Little Pony Folk Ballad Music Video 🌈✨,20250810,32,1,,207,https://www.youtube.com/watch?v=bUyIxWTb18k,True
6XuQR_a1S4Q,How to Generate Google Ad Grant Keywords for 501(c)(3) Nonprofits with LLMs | Step-by-Step Guide,20250808,28,,1,1518,https://www.youtube.com/watch?v=6XuQR_a1S4Q,True
7xfazjdTdoo,Ad Grants Compliance Requirements | Google Ads for Nonprofits,20250807,82,,,839,https://www.youtube.com/watch?v=7xfazjdTdoo,True
hqzKUwiPFN0,Google Ads for Your Non-Profit! | Google Ad Grants Explained by Professor Bear,20250806,18,,,880,https://www.youtube.com/watch?v=hqzKUwiPFN0,True
SRcSQwIAZz0,How to Use Your Own Voice with Suno AI: Professor Bear Tutorial,20250801,128,7,2,549,https://www.youtube.com/watch?v=SRcSQwIAZz0,True
kum8hF4C-aU,Meta tags (no caption) | Humanitarians AI,20250731,25,1,,305,https://www.youtube.com/watch?v=kum8hF4C-aU,True
NeH_TELqyZM,Meta tags (with caption) | Humanitarians AI,20250731,26,1,,305,https://www.youtube.com/watch?v=NeH_TELqyZM,True
T8-9OQ3H1Mw,Add Subtitles to Songs Like a Pro | Descript Tutorial for Creators | Humanitarians AI,20250730,38,4,,870,https://www.youtube.com/watch?v=T8-9OQ3H1Mw,True
1ErOpyD5Q1o,Lyrical Literacy - Music a workout for your brain?,20250726,30,4,2,83,https://www.youtube.com/watch?v=1ErOpyD5Q1o,True
3DJzPobJ6V8,The Raman Effect: AI-Driven Wastewater Monitoring Public Health | Humanitarians AI,20250721,44,1,,86,https://www.youtube.com/watch?v=3DJzPobJ6V8,True
egZRNybs0Yo,Dewey: Humanitarians AI's  Educational AI Framework,20250721,27,1,,196,https://www.youtube.com/watch?v=egZRNybs0Yo,True
ASfQlTZN2zE,Meet Dayhoff: The 1950s Scientist Character Behind Our Biological AI Framework | Humanitarians AI,20250720,171,3,,160,https://www.youtube.com/watch?v=ASfQlTZN2zE,True
b9ni63UExMM,Learn AI by Doing AI: Northeastern University & Humanitarians AI Code for a Cause Projects,20250718,22,1,,95,https://www.youtube.com/watch?v=b9ni63UExMM,True
uoupOTsDwSU,Madison: Build AI Agents for Marketing & Branding | OPT-Eligible Open Source Project,20250717,50,1,,178,https://www.youtube.com/watch?v=uoupOTsDwSU,True
ROrzYEqOVtE,What You'll Do If You Join Mycroft | Financial AI OPT-Eligible Open Source Project,20250716,30,1,,179,https://www.youtube.com/watch?v=ROrzYEqOVtE,True
v0CVQJ1T7Iw,Popper Character Design | The Philosophical Agent for AI Validation,20250716,52,1,,91,https://www.youtube.com/watch?v=v0CVQJ1T7Iw,True
tlyUimlR6KM,What is Agentic AI in Finance? Meet Mycroft,20250716,33,1,,228,https://www.youtube.com/watch?v=tlyUimlR6KM,True
JL3d_ShVnSc,Madison: Open Source AI Marketing Framework | Join the Project,20250714,87,3,,240,https://www.youtube.com/watch?v=JL3d_ShVnSc,True
uzJrJTrZ4m0,Rapunzel Holle (no caption) | Humanitarians AI,20250713,6,,,164,https://www.youtube.com/watch?v=uzJrJTrZ4m0,True
bGXMZR-e06M,Jane Austen & Emma Woodhouse (with caption) | Humanitarians AI,20250713,17,,,356,https://www.youtube.com/watch?v=bGXMZR-e06M,True
uEll6UgK8ZI,Jane Austen & Emma Woodhouse (no caption) | Humanitarians AI,20250713,23,1,,356,https://www.youtube.com/watch?v=uEll6UgK8ZI,True
ntoFfH-iL8s,Rapunzel Holle (with caption) | Humanitarians AI,20250713,9,,,164,https://www.youtube.com/watch?v=ntoFfH-iL8s,True
ZLw6ThxzpnQ,Modern Dorothy & Toto Character Design No Captions | Humanitarians AI,20250713,11,,,192,https://www.youtube.com/watch?v=ZLw6ThxzpnQ,True
rAadWSEdpA4,Modern Dorothy & Toto Character Design With Captions | Humanitarians AI,20250713,5,,,192,https://www.youtube.com/watch?v=rAadWSEdpA4,True
CQMsADNSO5k,There's a Hole in the Bottom of the Sea Lyrical Literacy NoCaptions |Humanitarians AI,20250713,19,1,,337,https://www.youtube.com/watch?v=CQMsADNSO5k,True
nR2aPjyEZwM,There's a Hole in the Bottom of the Sea Lyrical Literacy With Captions | Humanitarians AI,20250713,16,,,337,https://www.youtube.com/watch?v=nR2aPjyEZwM,True
JFIDvETz7B0,Ganesha's Sweet Tooth No Captions | Humanitarians AI,20250713,18,1,,188,https://www.youtube.com/watch?v=JFIDvETz7B0,True
LRsTjdkuWA8,Ganesha's Sweet Tooth With Captions | Humanitarians AI,20250713,13,1,,188,https://www.youtube.com/watch?v=LRsTjdkuWA8,True
h6dVyxjtqZ8,Fuzzy Wuzzy Tongue Twisters (No caption) 🐻 Brain Training Music for Kids & Adults | Humanitarians AI,20250713,24,,,241,https://www.youtube.com/watch?v=h6dVyxjtqZ8,True
DTDduy1QNX8,Fuzzy Wuzzy Tongue Twisters (with caption) 🐻 Brain Training Music | Humanitarians AI,20250713,12,,,241,https://www.youtube.com/watch?v=DTDduy1QNX8,True
1H0hsBU_foA,Mycroft AI,20250711,142,2,,223,https://www.youtube.com/watch?v=1H0hsBU_foA,True
6DEd7rTX7JY,AI for Good: Humanitarians.AI | Research & Software Development,20250710,35,,,170,https://www.youtube.com/watch?v=6DEd7rTX7JY,True
hTV8UUsKZdE,AI for Good | Humanitarians AI,20250708,4,,,64,https://www.youtube.com/watch?v=hTV8UUsKZdE,True
LeZpm76Eszc,"Botspeak,  A Framework for AI Fluency",20250708,83,4,,93,https://www.youtube.com/watch?v=LeZpm76Eszc,True
juYjI3cncug,Lyrical Literacy: How Singing Unlocks Your Brain's Full Potential | Neuroscience Meets Music,20250707,211,8,,244,https://www.youtube.com/watch?v=juYjI3cncug,True
hrYIlDhT0cs,Lyrical Literacy: How Singing Unlocks Your Brain's Full Potential | Neuroscience Meets Music,20250629,20,2,,241,https://www.youtube.com/watch?v=hrYIlDhT0cs,True
GN7yQntWJHU,Humanitarians AI: Harnessing Technology for Social Good,20250622,360,5,1,122,https://www.youtube.com/watch?v=GN7yQntWJHU,True
nl6kXg0NuVo,Wagwan: Gödel's Unprovable Truths (Incompleteness Theorem) with Bullet Points,20250622,49,3,,222,https://www.youtube.com/watch?v=nl6kXg0NuVo,True
krxIXJ_Damo,Experience the Power of Suno AI Meta Tags: Hear the Difference!,20250608,432,12,9,305,https://www.youtube.com/watch?v=krxIXJ_Damo,True
4OF5zMZLA8c,Fuzzy Wuzzy Tongue Twisters Song 🐻 Brain Training Music for Kids & Adults,20250528,34,1,,241,https://www.youtube.com/watch?v=4OF5zMZLA8c,True
BuVjO1xHwro,There's a Hole in the Bottom of the Sea Lyrical Literacy,20250527,37,,,337,https://www.youtube.com/watch?v=BuVjO1xHwro,True
H2khBVVnGr0,Rapunzel Holle | Fablulous: Twisted Tales,20250526,24,1,,164,https://www.youtube.com/watch?v=H2khBVVnGr0,True
-817vNMq_Uw,Jane Austen & Emma Woodhouse Discuss Revolutionary Literature (1815) | The AI-BAC Machine,20250525,29,1,1,356,https://www.youtube.com/watch?v=-817vNMq_Uw,True
XpYu1pulKQY,EXTREMELY RARE: Jane Austen & Emma Woodhouse Sit Down Together - First Ever Joint Interview!,20250525,49,2,1,346,https://www.youtube.com/watch?v=XpYu1pulKQY,True
ARN3wUlGNbc,Ms Austen – A Tribute to Jane Austen | Humanitarians AI | AI Character Design + Spoken Word,20250522,45,2,1,151,https://www.youtube.com/watch?v=ARN3wUlGNbc,True
XdTl0z5QyBw,"Obama ""Get Stuff Done""",20250518,134,2,2,66,https://www.youtube.com/watch?v=XdTl0z5QyBw,True
WKW12dO9NOc,Abhishek - AI Skunkworks + Humanitarians AI Testimonial,20250514,77,4,1,159,https://www.youtube.com/watch?v=WKW12dO9NOc,True
